,index,designation,distance,magnitude,absoluteMagnitude,scaledMagnitude,spectralType,spectralColor,colorIndex,xCoord,yCoord,zCoord,constellation,luminosity
53268,53268,55    Leo,44.8632,5.91,2.6510000000000002,0.17151,F,16773591,0.425,-43.105827000000005,12.420136999999999,0.577002,Leo,7.578792209160492
53271,53271,46    UMa,72.6216,5.02,0.715,0.19086999999999998,K,16623706,1.101,-58.188393999999995,16.756789,40.089760999999996,UMa,45.08167045414601
53294,53294,56    Leo,119.1895,5.91,0.529,0.19272999999999998,M,16541255,1.256,-113.908698,32.649618,12.842122,Leo,53.5056938173137
53310,53310,4264.0,95.511,6.03,1.13,0.18672,K,16623706,1.123,-68.240444,19.489683,63.919112,UMa,30.76096814740708
53330,53330,NN 3633,17.304,7.37,6.178999999999999,0.13623000000000002,K,16623706,0.92,-16.506116,4.69307,2.225227,Leo,0.2940356573672505
53337,53337,50    LMi,78.4929,6.36,1.886,0.17916,K,16623706,1.036,-68.150834,19.357413,33.792481,LMi,15.332041990349136
53347,53347,Iot Ant,58.2751,4.6,0.773,0.19029,K,16623706,1.006,-44.696342,12.665166000000001,-35.182633,Ant,42.736603149693046
53375,53375,4274.0,102.9866,5.9,0.836,0.18966,A,13291261,0.17300000000000001,-62.703793999999995,17.645676,-79.76925200000001,Vel,40.3273792976113
53423,53423,Gl 406.1,22.8206,10.28,8.488,0.11314,M,16541255,1.3519999999999999,-7.66316,2.138337,21.388926,UMa,0.035059038393261265
53452,53452,Wo 9342,164.7446,10.4,4.316,0.15486,G,16702104,0.833,-105.77968500000001,29.315440000000002,122.84969099999999,UMa,1.6353096517445835
53543,53543,4282.0,48.5201,5.7,2.27,0.17532,F,16773591,0.374,-38.938548,10.574076,-26.947539000000003,Hya,10.764652136298345
53544,53544,4304.0,90.8265,6.7,1.909,0.17892999999999998,F,16773591,0.534,-12.870722,3.49559,-89.842063,Cha,15.010667325703686
53545,53545,4290.0,118.2033,6.16,0.797,0.19005,B,9214460,-0.064,-54.744218999999994,14.865079000000001,-103.702237,Car,41.80228289540325
53546,53546,Eta Oct,105.4852,6.19,1.074,0.18728,A,13291261,0.1,-9.590886,2.604462,-105.01596799999999,Oct,32.38918349968774
53550,53550,4275.0,211.8644,6.22,-0.41,0.20212,K,16623706,1.3519999999999999,-126.218746,34.234978000000005,166.683208,UMa,127.0574105208542
53565,53565,47    UMa,14.0627,5.03,4.29,0.15512,G,16702104,0.624,-10.333319,2.7946150000000003,9.120037,UMa,1.6749428760264369
53567,53567,4284.0,202.8398,5.88,-0.6559999999999999,0.20457999999999998,M,16541255,1.6,-187.894106,50.772081,-57.112743,Crt,159.36758810287662
53570,53570,4278.0,253.8071,5.99,-1.033,0.20835,M,16541255,1.595,-197.997636,53.473491,149.51738400000002,UMa,225.52775667452468
53581,53581,4281.0,46.0829,6.53,3.2119999999999997,0.1659,F,16773591,0.44299999999999995,-43.570957,11.73905,9.349684,Leo,4.5206407964850115
53584,53584,7Alp Crt,48.8043,4.08,0.638,0.19163999999999998,K,16623706,1.079,-44.746057,12.036889,-15.323329999999999,Crt,48.394944930166275
53605,53605,4272.0,161.2903,6.18,0.142,0.1966,G,16702104,0.966,-33.000364000000005,8.850588,157.629502,Dra,76.41876239634672
53606,53606,4292.0,93.5454,5.81,0.955,0.18847,B,9214460,-0.064,-65.208168,17.475637,-64.755157,Vel,36.14098626396132
53612,53612,Gl 408,6.6622,10.03,10.912,0.08889999999999998,M,16541255,1.525,-5.931445,1.587358,2.58525,Leo,0.003760105236684952
53616,53616,4296.0,61.0874,6.15,2.22,0.17581999999999998,A,13291261,0.188,-36.481288,9.751596000000001,-48.017786,Vel,11.2719745617551
53618,53618,4293.0,60.1685,4.37,0.473,0.19329000000000002,A,13291261,0.11599999999999999,-43.044414,11.502641,-40.436502000000004,Vel,56.33781508509383
53622,53622,4289.0,142.6534,5.86,0.08900000000000001,0.19713,K,16623706,1.501,-133.681283,35.697978000000006,-34.712334000000006,Crt,80.24167763085845
53625,53625,4280.0,253.1646,5.47,-1.547,0.21349,K,16623706,1.466,-171.368144,45.721608,180.651181,UMa,362.0762177566729
53635,53635,4285.0,44.3459,6.03,2.7960000000000003,0.17006,F,16773591,0.584,-31.384965,8.359017,30.193789000000002,UMa,6.631320218835523
53642,53642,4283.0,175.7469,6.41,0.18600000000000003,0.19616,G,16702104,1.0070000000000001,-105.72469699999999,28.118368,137.54497,UMa,73.38376673335377
53651,53651,58    Leo,110.4972,4.84,-0.377,0.20179,K,16623706,1.1440000000000001,-106.58901100000001,28.281073,6.971850999999999,Leo,123.25370982033444
53662,53662,4298.0,31.3873,6.06,3.576,0.16226,F,16773591,0.527,-25.776237,6.82485,-16.558035,Hya,3.2329575336809406
53669,53669,59    Leo,46.3607,4.98,1.649,0.18153,A,13291261,0.166,-44.565858,11.785895,4.927631,Leo,19.072165205939054
53682,53682,49    UMa,115.4734,5.06,-0.252,0.20054,A,13291261,0.255,-86.50579599999999,22.839537,73.001474,UMa,109.84998450583755
